visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,bgra,gw_param_keys 1,gw_param_values 1,label 1,x,y,bgra,gw_param_keys 2,gw_param_values 2,label 2,x,y,bgra
xlabel,X-Axis Label,0,0.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Area Plot,area,0.0,0.004971601688656529,192.0,plot_type,Area Plot,area,0.0,0.0025739992534469336,20.0,plot_type,Area Plot,area,0.0,0.0,50.0
xrot,0,5,0.5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Simple Area,NONE_STR,0.10101010101010101,0.0,128.0,plot_style_type,Simple Area,NONE_STR,0.10101010101010101,0.005308148199173933,180.0,plot_style_type,Simple Area,NONE_STR,0.10101010101010101,0.037684953724089115,70.0
xmm,40,10,1.0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XY Pair,NONE_STR,0.20202020202020202,0.0064888850521241746,0.0,plot_data_type,XY Pair,NONE_STR,0.20202020202020202,0.035408475885244726,20.0,plot_data_type,XY Pair,NONE_STR,0.20202020202020202,0.08079528874653476,255.0
xscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30303030303030304,0.015249682063258201,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30303030303030304,0.06394540680027092,0.5,plot_columns_per_plot,ColumnsPerPlot,NONE_STR,0.30303030303030304,0.10412895386970142,0.5
xmin,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.40404040404040403,0.0,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.40404040404040403,0.1112123196793143,,plot_plot_columns_count_array,PlotColumnCountArray,NONE_STR,0.40404040404040403,0.1603719745108346,
xmax,10.25,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,0.5050505050505051,0.0,,plot_data_source,Worksheet Columns,NONE_STR,0.5050505050505051,0.13379451488791183,,plot_data_source,Worksheet Columns,NONE_STR,0.5050505050505051,0.21281857494465947,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,0.6060606060606061,0.015868976398659328,,plot_polarunits,Standard Deviation,NONE_STR,0.6060606060606061,0.1792538395051223,,plot_polarunits,Standard Deviation,NONE_STR,0.6060606060606061,0.30159865954270354,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,0.7070707070707071,0.007793518758673333,,plot_anguleunits,Degrees,NONE_STR,0.7070707070707071,0.23109872787220723,,plot_anguleunits,Degrees,NONE_STR,0.7070707070707071,0.3338121673009113,
ymm,28.0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,0.8080808080808081,0.0,,plot_min_angle_row,0,NONE_STR,0.8080808080808081,0.26020079876628976,,plot_min_angle_row,0,NONE_STR,0.8080808080808081,0.37843512136626895,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,0.9090909090909091,0.00570354334182869,,plot_max_angle_row,360,NONE_STR,0.9090909090909091,0.2791873065482725,,plot_max_angle_row,360,NONE_STR,0.9090909090909091,0.42616388411284306,
