visual parameter label,visual parameter value,xticks,yticks,preserved 0,preserved 1,preserved 2,preserved 3,gw_param_keys 0,gw_param_values 0,label 0,x,y,z,bgra
xlabel,X-Axis Label,-10,-10,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_type,Contour Plot,contour,-5.0,-5.0,0.08843843072685073,NONE_STR
xrot,0,-5,-5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_style_type,Filled Contour Plot,NONE_STR,-3.888888888888889,-5.0,0.021876739426398457,NONE_STR
xmm,40,0,0,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_type,XYZ Triplet,NONE_STR,-2.7777777777777777,-5.0,0.054275239506181294,NONE_STR
xscale,linear,5,5,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_columns_per_plot,NONE_STR,NONE_STR,-1.6666666666666665,-5.0,0.128020589543493,NONE_STR
xmin,-5.25,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_plot_columns_count_array,NONE_STR,NONE_STR,-0.5555555555555554,-5.0,0.1289702586756249,
xmax,5.25,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_data_source,Worksheet Columns,NONE_STR,0.5555555555555554,-5.0,-0.013338118149008718,
ylabel,Y-Axis Label,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_polarunits,Standard Deviation,NONE_STR,1.666666666666667,-5.0,0.06257717650385937,
yrot,0,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_anguleunits,Degrees,NONE_STR,2.7777777777777786,-5.0,-0.0048544373781902895,
ymm,40,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_min_angle_row,0,NONE_STR,3.8888888888888893,-5.0,-0.004953687621009681,
yscale,linear,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_max_angle_row,360,NONE_STR,5.0,-5.0,0.020536641780291544,
ymin,-5.25,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_unknown1,NONE_STR,NONE_STR,-5.0,-3.888888888888889,0.013835109616046951,
ymax,5.25,,,NONE_STR,NONE_STR,NONE_STR,NONE_STR,plot_group_style,Standard Deviation,NONE_STR,-3.888888888888889,-3.888888888888889,0.1227684731938213,
,,,,,,,,plot_use_automatic_legends,True,NONE_STR,-2.7777777777777777,-3.888888888888889,0.146419721837114,
,,,,,,,,,,,-1.6666666666666665,-3.888888888888889,0.21695744485625643,
,,,,,,,,,,,-0.5555555555555554,-3.888888888888889,0.4602606347806904,
,,,,,,,,,,,0.5555555555555554,-3.888888888888889,0.4528466821662644,
,,,,,,,,,,,1.666666666666667,-3.888888888888889,0.2597501025635371,
,,,,,,,,,,,2.7777777777777786,-3.888888888888889,0.023054396977678318,
,,,,,,,,,,,3.8888888888888893,-3.888888888888889,0.01819782499343996,
,,,,,,,,,,,5.0,-3.888888888888889,-0.042622327188540275,
,,,,,,,,,,,-5.0,-2.7777777777777777,-0.08670852376870153,
,,,,,,,,,,,-3.888888888888889,-2.7777777777777777,0.3331105439447125,
,,,,,,,,,,,-2.7777777777777777,-2.7777777777777777,0.57021868723846,
,,,,,,,,,,,-1.6666666666666665,-2.7777777777777777,0.4540450061818194,
,,,,,,,,,,,-0.5555555555555554,-2.7777777777777777,0.903534230536666,
,,,,,,,,,,,0.5555555555555554,-2.7777777777777777,0.7054184465764747,
,,,,,,,,,,,1.666666666666667,-2.7777777777777777,0.3323598413649308,
,,,,,,,,,,,2.7777777777777786,-2.7777777777777777,0.05006085311186015,
,,,,,,,,,,,3.8888888888888893,-2.7777777777777777,0.08117757893618306,
,,,,,,,,,,,5.0,-2.7777777777777777,0.0736150316515117,
,,,,,,,,,,,-5.0,-1.6666666666666665,0.06312446196613686,
,,,,,,,,,,,-3.888888888888889,-1.6666666666666665,0.4218683255262846,
,,,,,,,,,,,-2.7777777777777777,-1.6666666666666665,0.6096676818689182,
,,,,,,,,,,,-1.6666666666666665,-1.6666666666666665,0.21152005648991692,
,,,,,,,,,,,-0.5555555555555554,-1.6666666666666665,0.20203354428906445,
,,,,,,,,,,,0.5555555555555554,-1.6666666666666665,0.20974157948034935,
,,,,,,,,,,,1.666666666666667,-1.6666666666666665,0.1470646962235284,
,,,,,,,,,,,2.7777777777777786,-1.6666666666666665,0.0755365026799073,
,,,,,,,,,,,3.8888888888888893,-1.6666666666666665,-0.01817754812689116,
,,,,,,,,,,,5.0,-1.6666666666666665,-0.015074492843824292,
,,,,,,,,,,,-5.0,-0.5555555555555554,-0.03600621111619953,
,,,,,,,,,,,-3.888888888888889,-0.5555555555555554,0.052706898308523015,
,,,,,,,,,,,-2.7777777777777777,-0.5555555555555554,0.1542034881051406,
,,,,,,,,,,,-1.6666666666666665,-0.5555555555555554,0.24115755088864332,
,,,,,,,,,,,-0.5555555555555554,-0.5555555555555554,0.0031725482149433624,
,,,,,,,,,,,0.5555555555555554,-0.5555555555555554,-0.013638895293350902,
,,,,,,,,,,,1.666666666666667,-0.5555555555555554,-0.05867700843313723,
,,,,,,,,,,,2.7777777777777786,-0.5555555555555554,0.041208673043518856,
,,,,,,,,,,,3.8888888888888893,-0.5555555555555554,-0.07943928900785628,
,,,,,,,,,,,5.0,-0.5555555555555554,-0.010392223300818971,
,,,,,,,,,,,-5.0,0.5555555555555554,-0.043378839047591045,
,,,,,,,,,,,-3.888888888888889,0.5555555555555554,0.050847080593852914,
,,,,,,,,,,,-2.7777777777777777,0.5555555555555554,0.2281795265136087,
,,,,,,,,,,,-1.6666666666666665,0.5555555555555554,0.30057298884147365,
,,,,,,,,,,,-0.5555555555555554,0.5555555555555554,0.07498910181169345,
,,,,,,,,,,,0.5555555555555554,0.5555555555555554,0.026362171326005625,
,,,,,,,,,,,1.666666666666667,0.5555555555555554,0.024076472706167706,
,,,,,,,,,,,2.7777777777777786,0.5555555555555554,0.06430296587061952,
,,,,,,,,,,,3.8888888888888893,0.5555555555555554,0.0022392432483467686,
,,,,,,,,,,,5.0,0.5555555555555554,-0.011315403312715532,
,,,,,,,,,,,-5.0,1.666666666666667,-0.03292797901916789,
